UF;Municipio;DepAdm;EnsinoFund1_4;EnsinoFund5_8
Alagoas;MURICI;Privada;0;0
Alagoas;NOVO LINO;Total;2.089;1.326
Alagoas;NOVO LINO;Estadual;106;18
Alagoas;NOVO LINO;Municipal;1.983;1.308
Alagoas;OLHO D'AGUA DAS FLORES;Total;3.580;2.149
Alagoas;OLHO D'AGUA DAS FLORES;Estadual;217;449
Alagoas;OLHO D'AGUA DAS FLORES;Municipal;3.149;1.428
Alagoas;OLHO D'AGUA DAS FLORES;Privada;214;272
Alagoas;OLHO D'AGUA DO CASADO;Total;1.515;887
Alagoas;OLHO D'AGUA DO CASADO;Estadual;254;0
Alagoas;OLHO D'AGUA DO CASADO;Municipal;1.261;887
Alagoas;OLHO D'AGUA GRANDE;Total;1.073;537
Alagoas;OLHO D'AGUA GRANDE;Estadual;155;0
Alagoas;OLHO D'AGUA GRANDE;Municipal;918;537
Alagoas;OLIVENCA;Total;2.229;1.171
Alagoas;OLIVENCA;Estadual;200;126
Alagoas;OLIVENCA;Municipal;2.029;1.045
Alagoas;OURO BRANCO;Total;1.896;1.194
Alagoas;OURO BRANCO;Estadual;0;192
Alagoas;OURO BRANCO;Municipal;1.896;1.002
Alagoas;PALESTINA;Total;777;636
Alagoas;PALESTINA;Estadual;96;0
Alagoas;PALESTINA;Municipal;681;636
Alagoas;PALESTINA;Privada;0;0
Alagoas;PALMEIRA DOS INDIOS;Total;8.272;7.409
Alagoas;PALMEIRA DOS INDIOS;Estadual;2.124;3.723
Alagoas;PALMEIRA DOS INDIOS;Federal;0;0
Alagoas;PALMEIRA DOS INDIOS;Municipal;5.418;2.895
Alagoas;PALMEIRA DOS INDIOS;Privada;730;791
Alagoas;PAO DE ACUCAR;Total;4.039;2.218
Alagoas;PAO DE ACUCAR;Estadual;9;1.945
Alagoas;PAO DE ACUCAR;Municipal;3.774;0
Alagoas;PAO DE ACUCAR;Privada;256;273
Alagoas;PARICONHA;Total;1.533;1.025
Alagoas;PARICONHA;Estadual;302;223
Alagoas;PARICONHA;Municipal;1.231;802
Alagoas;PARIPUEIRA;Total;1.538;1.161
Alagoas;PARIPUEIRA;Estadual;143;685
Alagoas;PARIPUEIRA;Municipal;1.381;476
Alagoas;PARIPUEIRA;Privada;14;0
Alagoas;PASSO DE CAMARAGIBE;Total;2.416;1.187
Alagoas;PASSO DE CAMARAGIBE;Estadual;354;336
Alagoas;PASSO DE CAMARAGIBE;Municipal;2.062;851
Alagoas;PAULO JACINTO;Total;1.061;738
Alagoas;PAULO JACINTO;Estadual;159;133
Alagoas;PAULO JACINTO;Municipal;902;605
Alagoas;PENEDO;Total;7.371;7.018
